epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,881.837,0.9501,2.90213,1.04974,1.2998,0.76751,0.69988,0.75543,0.526,0.61217,0.5609,0.52377,0.24065,1.2913,3.02696,1.45952,1.49008,0.000709809,0.000709809,0.000709809
31,909.637,0.91697,2.83858,1.02988,1.27791,0.72426,0.71911,0.74396,0.50371,0.63152,0.57739,0.55202,0.24505,1.21049,3.15748,1.50572,1.45177,0.000676802,0.000676802,0.000676802
32,940.141,0.90735,2.83624,1.01133,1.27922,0.75017,0.70221,0.74778,0.54509,0.60583,0.5602,0.50573,0.22242,1.21739,3.32412,1.48566,1.41985,0.000643795,0.000643795,0.000643795
33,967.798,0.92616,2.80428,1.00012,1.28989,0.72334,0.72232,0.7414,0.52423,0.55311,0.5569,0.46285,0.20842,1.1959,3.20046,1.43285,1.40493,0.000610789,0.000610789,0.000610789
34,996.675,0.88503,2.81705,0.98956,1.26501,0.73418,0.72266,0.75027,0.53971,0.61898,0.57646,0.52549,0.23415,1.16674,3.13287,1.38794,1.3921,0.000577782,0.000577782,0.000577782
35,1025.51,0.88491,2.80577,0.97573,1.26673,0.74459,0.69629,0.74892,0.55104,0.58313,0.56655,0.52797,0.22595,1.16949,3.2416,1.47913,1.41231,0.000544776,0.000544776,0.000544776
36,1053.51,0.9084,2.71889,0.98285,1.2692,0.76138,0.71691,0.74804,0.55295,0.62248,0.58509,0.52564,0.23698,1.12817,3.10268,1.4469,1.3697,0.000511769,0.000511769,0.000511769
37,1083.42,0.88257,2.69031,0.96195,1.2486,0.75142,0.71369,0.74209,0.53946,0.59648,0.56629,0.49808,0.22329,1.15971,3.26825,1.39797,1.3839,0.000478762,0.000478762,0.000478762
38,1110.52,0.89008,2.7209,0.98214,1.26855,0.73887,0.70542,0.75212,0.54714,0.58775,0.56562,0.49731,0.2131,1.14149,3.03833,1.44403,1.37865,0.000445756,0.000445756,0.000445756
39,1141.21,0.8613,2.67011,0.92157,1.23084,0.75534,0.70058,0.75006,0.55495,0.59725,0.55221,0.53497,0.24311,1.15593,3.18199,1.4474,1.40757,0.000412749,0.000412749,0.000412749
